actual,proposed
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.3729114532470703
0.0,8.703442573547363
0.0,16.648967742919922
0.0,24.652021408081055
0.0,32.36363220214844
0.0,39.53455352783203
188.84799194335938,46.65178680419922
205.9004364013672,53.39814758300781
219.5424041748047,59.547080993652344
236.59483337402344,65.60179901123047
250.2367401123047,71.25669860839844
263.87872314453125,76.62600708007812
277.5206298828125,81.79132843017578
291.16259765625,86.81094360351562
301.39404296875,91.39395904541016
304.80450439453125,95.00006103515625
304.80450439453125,97.57585144042969
301.39404296875,99.08317565917969
301.39404296875,100.15984344482422
301.39404296875,100.92888641357422
301.39404296875,101.47820281982422
301.39404296875,101.87056732177734
297.9835205078125,101.81830596923828
297.9835205078125,101.78097534179688
294.57305908203125,101.42178344726562
287.7520751953125,100.50016784667969
284.34161376953125,99.50935363769531
274.11016845703125,97.8040542602539
263.87872314453125,95.58840942382812
0.0,93.00822448730469
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,3.280115842819214
0.0,13.535329818725586
0.0,23.85321617126465
0.0,34.215858459472656
193.2340545654297,43.28036117553711
237.5703582763672,54.07782745361328
268.26470947265625,64.78302764892578
295.54864501953125,75.08979797363281
322.83245849609375,85.11197662353516
346.70587158203125,94.59834289550781
370.5793151855469,103.7020034790039
